reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.01,4973.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.025,5440.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.05,6035.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.1,6609.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.15,7055.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.2,7319.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.25,7503.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.3,7913.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.35,8199.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.4,8385.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.45,8532.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.5,8784.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.55,9180.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.6,9518.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.65,9773.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.7,9996.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.75,10282.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.8,10504.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.85,10789.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.9,11187.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.95,11769.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.975,12561.0
2025-12-13,US,0.0,wk inc flu hosp,2025-12-13,quantile,0.99,13148.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.01,4734.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.025,5202.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.05,6084.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.1,7199.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.15,8054.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.2,8651.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.25,9110.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.3,9548.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.35,10630.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.4,10986.0
