as_of,target,target_end_date,location,location_name,observation,weekly_rate
2026-02-04,wk inc flu hosp,2025-11-01,US,US,1334.0,0.392224905124206
2026-02-04,wk inc flu hosp,2025-11-01,US,US,1348.0,0.396341208476334
2026-02-04,wk inc flu hosp,2025-11-08,US,US,1765.0,0.51894824403615
2026-02-04,wk inc flu hosp,2025-11-08,US,US,1774.0,0.521594439048232
2026-02-04,wk inc flu hosp,2025-11-15,US,US,2397.0,0.704769938217933
2026-02-04,wk inc flu hosp,2025-11-15,US,US,2417.0,0.710650371578116
2026-02-04,wk inc flu hosp,2025-11-22,US,US,3498.0,1.02848779469601
2026-02-04,wk inc flu hosp,2025-11-22,US,US,3528.0,1.03730844473628
2026-02-04,wk inc flu hosp,2025-11-29,US,US,5093.0,1.4974523551706
2026-02-04,wk inc flu hosp,2025-11-29,US,US,5133.0,1.50921322189097
2026-02-04,wk inc flu hosp,2025-12-06,US,US,7350.0,2.16105925986725
2026-02-04,wk inc flu hosp,2025-12-06,US,US,7397.0,2.17487827826368
